127.0.0.1 - - [03/Aug/2021:00:01:58 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:01:59 +0800] "GET /StudentSSM_Sys/ HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:02:08 +0800] "GET /StudentSSM_Sys/ HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:02:12 +0800] "GET /StudentSSM_Sys/selAll HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:02:20 +0800] "GET /StudentSSM_Sys/selAll?studentName=%E4%B8%89 HTTP/1.1" 200 1465
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:02:22 +0800] "GET /StudentSSM_Sys/selAll?studentName= HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:02:25 +0800] "GET /StudentSSM_Sys/delStudent?id=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:02:25 +0800] "GET /StudentSSM_Sys/selAll HTTP/1.1" 200 1478
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:02:28 +0800] "GET /StudentSSM_Sys/goAdd HTTP/1.1" 200 935
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:03:31 +0800] "GET /StudentSSM_Sys/goAdd HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:04:01 +0800] "GET /StudentSSM_Sys/goAdd HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:04:18 +0800] "GET /StudentSSM_Sys/goAdd HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:04:42 +0800] "GET /StudentSSM_Sys/goAdd HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:05:19 +0800] "POST /StudentSSM_Sys/addStudent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:05:19 +0800] "GET /StudentSSM_Sys/selAll HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:05:22 +0800] "GET /StudentSSM_Sys/selOneByIdid=9 HTTP/1.1" 404 648
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:06:19 +0800] "GET /StudentSSM_Sys/ HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:06:20 +0800] "GET /StudentSSM_Sys/selAll HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:06:23 +0800] "GET /StudentSSM_Sys/selOneById?id=9 HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:07:11 +0800] "GET /StudentSSM_Sys/selOneById?id=9 HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:07:20 +0800] "POST /StudentSSM_Sys/updateStudent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:07:20 +0800] "GET /StudentSSM_Sys/selAll HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [03/Aug/2021:00:07:28 +0800] "GET /StudentSSM_Sys/selAll?studentName=%E5%B0%8F HTTP/1.1" 200 1198
